subjects,load condition,exoskeleton type,avg total power 01,avg total power 02,avg total power 03,
subject05,loaded,biarticular,3.2144229023555067,2.980816835484375,2.925058497952282
subject07,loaded,biarticular,3.1333369796176673,2.896230628073119,3.133715400579071
subject09,loaded,biarticular,2.7495590850716995,2.9665946248287027,3.0210180020255026
subject10,loaded,biarticular,3.3083022617837905,3.148668084354725,3.320611001337541
subject11,loaded,biarticular,3.5192642100748586,3.4909493349681187,3.5760605761709185
subject12,loaded,biarticular,3.0648017658759974,2.8632287405634544,2.649252097389208
subject14,loaded,biarticular,3.465481723391702,2.89133424606473,3.041353459692032
subject05,loaded,monoarticular,2.90148289653332,2.8136429460791303,2.5370274836877496
subject07,loaded,monoarticular,2.7471260728946527,2.379492855266549,2.929125904165345
subject09,loaded,monoarticular,2.3473824457894077,2.59040866856823,2.722475323917406
subject10,loaded,monoarticular,2.9988047218861684,2.940962855518965,3.035590766202966
subject11,loaded,monoarticular,3.42293127199995,3.1942070674640464,3.3483014377356755
subject12,loaded,monoarticular,1.8371798775992474,1.6802249402971334,1.5523221037209134
subject14,loaded,monoarticular,3.722765261949773,2.843166048286778,3.3875551966000867
subject05,noload,biarticular,3.0256000009967905,3.1548156316212577,3.233166079703996
subject07,noload,biarticular,2.8900292936644076,2.713846882324691,2.798218323581002
subject09,noload,biarticular,2.698109818755343,2.416358865004404,2.491437123933814
subject10,noload,biarticular,2.920538982589905,2.89753977523573,2.905111388517385
subject11,noload,biarticular,2.8393416343112134,3.051879592059292,2.9976822175651465
subject12,noload,biarticular,3.4510107354345454,3.608218969669364,3.8059478421042634
subject14,noload,biarticular,3.095149428393743,3.207106453876011,2.9315698036620534
subject05,noload,monoarticular,2.4152366023003546,2.585396394951282,2.2282227836314057
subject07,noload,monoarticular,2.0626143715353047,2.064687468161784,2.1511223623977394
subject09,noload,monoarticular,2.2454803458180246,1.7914411397692636,2.0674762341853685
subject10,noload,monoarticular,2.287787409315156,2.194948556414814,2.135343314288341
subject11,noload,monoarticular,2.0913083292653782,2.2105230547467873,2.290078785125991
subject12,noload,monoarticular,2.3835278664086488,2.402755489484302,2.780303625183471
subject14,noload,monoarticular,2.933254001201962,2.9377977566621167,2.708472655757774
