subjects,load condition,constraints,device type,avg power 01,avg power 02,avg power 03,
subject05,loaded,constrained,biarticular,1.57778905128501,1.4283546726196112,1.413325661954945
subject07,loaded,constrained,biarticular,1.9447534744158677,1.899463420491538,1.9246763042323947
subject09,loaded,constrained,biarticular,1.8996465715803872,1.9079675959605051,1.9522878203081306
subject10,loaded,constrained,biarticular,2.943805413037806,nan,2.7956166559935545
subject11,loaded,constrained,biarticular,2.116581075412549,2.123104466759812,2.151549921610349
subject12,loaded,constrained,biarticular,2.5758297710342886,2.4746146065361128,2.465378536774913
subject14,loaded,constrained,biarticular,2.7350044207241258,2.3304340521959057,2.3606441540680114
subject05,loaded,constrained,monoarticular,1.7597670663415954,1.3748526708564368,1.3863735456624315
subject07,loaded,constrained,monoarticular,1.9809664980299506,1.7374066206686707,1.8736905827181372
subject09,loaded,constrained,monoarticular,1.8717841923583964,2.0273214825192545,2.0794915618598333
subject10,loaded,constrained,monoarticular,2.601502371153771,2.4813036416131036,2.629600385283621
subject11,loaded,constrained,monoarticular,2.151399062082813,2.0618255667472516,2.156555507331449
subject12,loaded,constrained,monoarticular,1.7908287803257052,1.6562707309238425,1.4319942961069119
subject14,loaded,constrained,monoarticular,2.4002481852990636,2.170392447398453,2.4818302216579493
subject05,noload,constrained,biarticular,1.5641918644316843,1.6617358707010643,1.7443546029444568
subject07,noload,constrained,biarticular,1.9722640407014693,1.822440876815476,1.8674662256400847
subject09,noload,constrained,biarticular,1.7920477750663053,1.6790083115985692,1.751529461288669
subject10,noload,constrained,biarticular,2.4723914576273436,2.495747250365268,2.5261707204219537
subject11,noload,constrained,biarticular,2.080891093099768,2.200484939865273,2.1229281332657477
subject12,noload,constrained,biarticular,2.693797976234877,2.799896239485145,2.919203577275755
subject14,noload,constrained,biarticular,2.5134188680834306,2.5734154694737477,2.345031639214285
subject05,noload,constrained,monoarticular,1.6108320367393572,1.7281447251616597,1.414617983322299
subject07,noload,constrained,monoarticular,1.9625987033276546,2.0043655550693797,2.011203797627709
subject09,noload,constrained,monoarticular,2.0377444095407067,1.7786241678890962,1.940137125463718
subject10,noload,constrained,monoarticular,2.2446639009589604,2.1985111420058194,2.1365752066730384
subject11,noload,constrained,monoarticular,2.011268082179874,2.031863202178533,2.0898242742900974
subject12,noload,constrained,monoarticular,2.323367498658848,2.3982118550248726,2.66224160797659
subject14,noload,constrained,monoarticular,2.409900393455591,2.39294011648168,2.2789432999097383
